index,name,score,type,stars,time,thumb,country,runtime,company,first_week_box_office,total_box_office
5,疯狂动物城,9.5,动画／动作／冒险,金妮弗·古德温／杰森·贝特曼／伊德瑞斯·艾尔巴,2016-03-04,https://p0.pipi.cn/mmdb/d2dad592b12f2a7e120faf4954319ee560065.webp?imageView2/1/w/218/h/300,美国 ,109,华特·迪士尼动画工作室,15517,153190
6,超能陆战队,9.5,动画／喜剧／动作,瑞恩·波特／斯科特·安第斯／T·J·米勒,2015-02-28,https://p0.pipi.cn/mmdb/d2dad592b125bf50c8af33dd1fb72c8917430.jpg?imageView2/1/w/218/h/300,美国 ,102,华特·迪士尼动画工作室,8545,52625
7,绿皮书,9.5,剧情／喜剧／传记,维果·莫腾森／马赫沙拉·阿里／琳达·卡德里尼,2019-03-01,https://p0.pipi.cn/mmdb/d2dad59253751b230f21f0818a5bfd4d8679c.jpg?imageView2/1/w/218/h/300,美国 ,130,美国参与者影片公司,11502,47872
8,带你去见我妈,9.5,爱情／家庭／喜剧,卢珊／郑鹏生／郑润奇,2022-01-07 09:00,https://p0.pipi.cn/mmdb/25bfd68dd7c0fac69667cbb85557bac5c7a05.jpg?imageView2/1/w/218/h/300,中国大陆 ,101,深圳市盗梦者文化传播有限公司,568,2374
9,我的父亲焦裕禄,9.5,剧情／传记,郭晓东／丁柳元／蒋易,2021-08-06,https://p0.pipi.cn/mmdb/d2dad5927a3be1395b87a9acb103312c77e81.jpg?imageView2/1/w/218/h/300,中国大陆 ,113,明德万国影业湖北有限公司,487,3458
10,绝杀慕尼黑,9.5,剧情／运动,弗拉基米尔·马什科夫／约翰·萨维奇／伊万·科列斯尼科夫,2019-06-13,https://p0.pipi.cn/mmdb/d2dad59253751bbe2a51baebf7357bc50bc09.jpg?imageView2/1/w/218/h/300,俄罗斯 ,121,俄罗斯尼基塔·米哈尔科夫特里特电影制片公司,1986,9181
11,海蒂和爷爷,9.5,剧情／家庭／冒险,阿努克·斯特芬／布鲁诺·冈茨／昆林·艾格匹,2019-05-16,https://p0.pipi.cn/mmdb/d2dad5927e10fabe1207ac9a7ae044e219c42.jpg?imageView2/1/w/218/h/300,"瑞士,德国 ",111,瑞士佐迪亚克电影公司,1013,2093
12,九零后,9.5,纪录片,许渊冲／杨振宁／马识途,2021-05-29,https://p0.pipi.cn/mmdb/d2dad5927a30fabe2a9257244bb88140e2694.jpg?imageView2/1/w/218/h/300,中国大陆 ,110,云南润视荣光影业制作有限公司,97,1172
13,雪豹和她的朋友们,9.5,纪录片,朱亚文,2023-08-04,https://p0.pipi.cn/mmdb/fb738633be1c7e11e592572d6fcfb6ee79e7c.jpg?imageView2/1/w/218/h/300,中国大陆 ,85,海口隐海文化传媒有限公司,89,282
14,冰雪奇缘,9.5,喜剧／动画／冒险,克里斯汀·贝尔／伊迪娜·门泽尔／乔纳森·格罗夫,2014-02-05,https://p0.pipi.cn/mmdb/d2dad592b125bf21f09ab4a8304b987fbdba3.webp?imageView2/1/w/218/h/300,美国 ,102,中国电影集团公司,8752,29831
15,放牛班的春天,9.5,剧情／音乐,热拉尔·朱诺／弗朗西斯·贝尔兰德／凯德·麦拉德,2004-10-16,https://p0.pipi.cn/mmdb/25bfd6927a37e1d23c92359b8bc611a4cd8a2.jpg?imageView2/1/w/218/h/300,法国 ,97,法国盖拉特电影公司,暂无,797
16,疯狂原始人,9.5,喜剧／动画／冒险,尼古拉斯·凯奇／艾玛·斯通／瑞安·雷诺兹,2013-04-20,https://p0.pipi.cn/mmdb/d2dad592b125bf39dde7aac48291f987a52d4.jpg?imageView2/1/w/218/h/300,美国 ,98,梦工场动画有限责任公司,4017,39466
17,再会长江,9.5,纪录片,竹内亮,2024-05-24,https://p0.pipi.cn/mmdb/54ecde875bfb122ff70e13d2ab8d920f3e9bc.jpg?imageView2/1/w/218/h/300,中国大陆 ,111,江苏省电影集团有限公司,12,82
18,古田军号,9.5,剧情／历史／战争,王仁君／王志飞／刘智扬,2019-08-01,https://p0.pipi.cn/mmdb/d2dad5925370fa92570faf08913a7e6de4889.jpg?imageView2/1/w/218/h/300,中国大陆 ,120,中国人民解放军八一电影制片厂,1201,5878
19,无尽攀登,9.5,纪录片,夏伯渝／胡歌／夏登平,2021-12-03,https://p0.pipi.cn/mmdb/d2dad52f33992350157e12c6979d47f765233.jpg?imageView2/1/w/218/h/300,中国大陆 ,92,北京时光春雨文化传播有限公司,88,303
20,保家卫国——抗美援朝光影纪实,9.5,纪录片,张涵予／盛玉增／李永杰,2020-10-25,https://p0.pipi.cn/mmdb/d2dad5927a302f300bb12db9c22dc9f5fe23e.jpg?imageView2/1/w/218/h/300,中国大陆 ,82,中国电影股份有限公司,2,1942
